UID,total_pop,pop_4-0,pop_9-5,pop_14-10,pop_19-15,pop_24-20,pop_29-25,pop_34-30,pop_39-35,pop_44-40,pop_49-45,pop_54-50,pop_59-55,pop_64-60,pop_69-65,pop_74-70,pop_79-75,pop_84-80,pop_+85
686,1155,90,71,86,72,79,73,74,66,84,85,75,64,73,72,43,17,17,16
858,1348,133,123,142,119,75,54,56,91,86,135,87,46,47,49,45,30,17,14
827,677,54,68,85,51,34,20,36,46,56,62,34,20,30,35,27,13,5,..
1071,849,80,91,94,59,33,43,79,62,67,47,42,34,44,33,16,14,9,4
15,355,28,34,33,25,22,18,25,20,28,20,21,19,13,15,13,12,6,4
59,1484,131,224,271,180,96,56,60,77,158,112,42,26,23,20,4,..,..,0
2045,717,83,86,62,40,42,38,46,57,62,38,31,38,29,33,15,8,6,5
449,1788,186,160,144,435,97,112,115,78,60,80,43,42,45,68,52,21,23,27
809,570,55,69,50,42,31,40,35,41,27,37,28,22,26,28,18,8,..,9
1147,306,27,33,20,21,15,18,11,23,19,16,21,16,8,9,25,18,5,0
4014,713,71,86,103,219,23,26,28,47,53,26,11,12,..,0,..,0,..,0
174,637,39,55,61,59,63,30,18,21,46,69,54,36,23,11,22,11,11,8
1280,286,31,28,32,8,25,22,22,23,15,18,22,17,18,5,0,0,0,..
851,1115,91,116,94,87,84,55,56,78,99,66,84,67,55,30,17,4,15,16
553,726,40,51,77,67,79,40,20,32,28,47,70,48,45,19,..,..,24,34
11,548,38,55,53,46,30,37,24,35,40,38,27,25,24,25,26,12,6,7
165,724,50,91,101,79,26,14,46,37,92,57,15,17,14,26,27,16,10,5
699,877,81,101,81,91,54,33,33,50,71,64,47,27,39,44,32,13,11,6
2047,592,61,44,53,41,42,42,29,44,52,29,31,26,34,28,17,9,4,5
2048,686,81,89,74,63,42,23,31,56,44,56,30,29,15,15,13,7,10,8
331,1286,112,130,112,95,86,51,52,72,109,87,72,51,45,66,54,33,36,22
825,1414,132,207,190,139,65,51,61,114,132,108,63,38,35,36,18,15,..,8
3713,165,35,10,4,4,7,24,25,14,4,..,0,9,23,..,..,0,0,..
1372,498,91,85,56,20,14,32,57,30,34,12,6,15,14,23,6,..,0,0
3555,212,25,25,13,..,14,15,21,21,20,5,..,4,13,28,4,0,0,0
1242,891,81,86,94,81,42,36,40,63,76,89,41,36,15,32,49,26,5,..
792,477,35,44,28,33,27,29,37,35,30,19,30,30,26,36,12,8,7,9
2046,717,62,83,62,62,49,24,44,45,58,54,37,23,28,29,29,14,8,6
3567,1331,176,270,127,69,53,28,43,141,147,94,46,32,29,31,28,10,..,..
610,1102,109,105,85,43,58,62,66,89,87,76,58,67,74,58,32,13,11,8
892,668,69,67,48,34,38,63,58,52,42,28,37,38,36,19,11,12,12,4
794,528,63,54,50,37,31,27,39,42,37,28,27,21,18,19,16,13,..,..
2035,515,30,49,54,87,32,17,10,33,37,35,28,17,24,28,17,7,6,5
826,429,41,37,27,19,28,21,24,31,22,23,39,35,31,13,9,6,11,12
737,1131,99,123,81,86,80,59,53,79,76,95,67,75,58,48,25,9,8,10
810,651,61,68,54,30,44,39,42,54,50,38,37,37,32,26,15,9,10,5
32,653,65,51,37,107,73,30,37,36,28,25,31,44,26,11,11,11,16,16
837,904,68,120,107,75,49,46,46,62,76,68,35,37,39,24,12,14,17,8
711,1227,108,135,121,103,89,59,88,76,101,81,59,48,56,47,25,9,13,7
817,1495,165,156,101,116,121,101,121,101,84,75,80,88,66,37,25,24,17,17
1175,392,32,44,54,43,20,16,21,19,36,33,24,14,29,6,..,0,0,0
687,1150,77,112,140,141,72,46,54,55,82,130,82,50,46,25,17,5,8,7
1240,1146,79,142,148,108,65,29,50,63,109,134,55,12,17,39,66,22,..,..
157,1504,94,138,178,158,101,43,55,73,110,159,103,61,57,59,37,34,26,19
806,742,40,70,85,89,58,23,29,26,52,61,63,22,9,11,50,47,8,..
